metrocast_location_id,age,population
deschutes,46,3339
deschutes,47,3329
deschutes,48,3292
deschutes,49,3354
deschutes,50,3183
deschutes,51,3226
deschutes,52,3365
deschutes,53,3637
deschutes,54,3563
deschutes,55,3397
deschutes,56,3123
deschutes,57,3227
deschutes,58,3265
deschutes,59,3283
deschutes,60,3404
deschutes,61,3549
deschutes,62,3623
deschutes,63,3806
deschutes,64,3847
deschutes,65,3892
deschutes,66,3896
deschutes,67,4037
deschutes,68,3879
deschutes,69,3752
deschutes,70,3826
deschutes,71,3698
deschutes,72,3467
deschutes,73,3235
deschutes,74,3101
deschutes,75,2982
deschutes,76,2896
deschutes,77,3010
deschutes,78,2001
deschutes,79,1947
deschutes,80,1768
deschutes,81,1743
deschutes,82,1450
deschutes,83,1220
deschutes,84+,6231
duluth,0,2998
duluth,1,3028
duluth,2,3231
duluth,3,3213
duluth,4,3415
duluth,5,3353
duluth,6,3427
duluth,7,3556
duluth,8,3587
duluth,9,3762
duluth,10,3750
duluth,11,3719
duluth,12,3798
duluth,13,3722
duluth,14,3878
duluth,15,4022
duluth,16,4296
duluth,17,4248
duluth,18,4646
duluth,19,5597
duluth,20,5895
duluth,21,5312
duluth,22,5048
duluth,23,4614
duluth,24,4221
duluth,25,3906
duluth,26,3765
duluth,27,3672
duluth,28,3696
duluth,29,3830
duluth,30,3891
duluth,31,3960
duluth,32,4012
duluth,33,4052
duluth,34,3943
duluth,35,4025
duluth,36,4051
duluth,37,4107
duluth,38,4142
duluth,39,4231
duluth,40,4269
duluth,41,4350
duluth,42,4416
duluth,43,4400
duluth,44,4386
duluth,45,4199
duluth,46,4109
duluth,47,3982
duluth,48,3795
duluth,49,3720
duluth,50,3590
duluth,51,3648
duluth,52,3820
duluth,53,4162
duluth,54,4134
duluth,55,3942
duluth,56,3948
duluth,57,4074
duluth,58,4287
duluth,59,4509
duluth,60,4769
duluth,61,5016
duluth,62,5245
duluth,63,5415
duluth,64,5267
duluth,65,5312
duluth,66,5445
duluth,67,5365
duluth,68,5225
duluth,69,5224
duluth,70,5023
duluth,71,4820
duluth,72,4532
duluth,73,4205
duluth,74,3866
duluth,75,3594
duluth,76,3359
duluth,77,3456
duluth,78,2268
duluth,79,2146
duluth,80,2161
duluth,81,2233
duluth,82,1768
duluth,83,1590
duluth,84+,10179
el-paso,0,10419
