NCES_district_id,state,name,event_name,start,end
3174820,NE,Omaha Public Schools,Christmas Break	,21 Dec 2020,4 Jan 2021
3174820,NE,Omaha Public Schools,Spring Break        ,8 Mar 2021,12 Mar 2021
3174820,NE,Omaha Public Schools,Last Day of School	,26 May 2021,
4900360,UT,Granite School District,First Day of School,16 Aug 2021,
4900360,UT,Granite School District,Fall Break,21 Oct 2021,25 Oct 2021
4900360,UT,Granite School District,Thanksgiving Break	,24 Nov 2021,29 Nov 2021
4900360,UT,Granite School District,Christmas Break	,20 Dec 2021,31 Dec 2021
4900360,UT,Granite School District,Mid winter Break	,21 Feb 2022,22 Feb 2022
4900360,UT,Granite School District,Spring Break        ,4 Apr 2022,8 Apr 2022
4900360,UT,Granite School District,Last Day of School	,2 Jun 2022,
